player_name,player_id,team,position,PTS,REB,AST,STL,BLK,TO,FG_PCT,FT_PCT,THREE_PM,USG_PCT,ast_pg,blk_pg,stl_pg,threepm_pg,context_neutral_source,league_avg_PTS,team_avg_PTS,context_delta_PTS,context_neutral_PTS,context_neutral_delta_PTS,context_neutral_ratio_PTS,league_avg_REB,team_avg_REB,context_delta_REB,context_neutral_REB,context_neutral_delta_REB,context_neutral_ratio_REB,league_avg_AST,team_avg_AST,context_delta_AST,context_neutral_AST,context_neutral_delta_AST,context_neutral_ratio_AST,league_avg_STL,team_avg_STL,context_delta_STL,context_neutral_STL,context_neutral_delta_STL,context_neutral_ratio_STL,league_avg_BLK,team_avg_BLK,context_delta_BLK,context_neutral_BLK,context_neutral_delta_BLK,context_neutral_ratio_BLK,league_avg_TO,team_avg_TO,context_delta_TO,context_neutral_TO,context_neutral_delta_TO,context_neutral_ratio_TO,league_avg_FG_PCT,team_avg_FG_PCT,context_delta_FG_PCT,context_neutral_FG_PCT,context_neutral_delta_FG_PCT,context_neutral_ratio_FG_PCT,league_avg_FT_PCT,team_avg_FT_PCT,context_delta_FT_PCT,context_neutral_FT_PCT,context_neutral_delta_FT_PCT,context_neutral_ratio_FT_PCT,league_avg_THREE_PM,team_avg_THREE_PM,context_delta_THREE_PM,context_neutral_THREE_PM,context_neutral_delta_THREE_PM,context_neutral_ratio_THREE_PM,league_avg_USG_PCT,team_avg_USG_PCT,context_delta_USG_PCT,context_neutral_USG_PCT,context_neutral_delta_USG_PCT,context_neutral_ratio_USG_PCT
Nikola Jokić,203999,DEN,C,22.974,11.368,7.157,1.212,1.032,2.854,0.5574,0.7865,1.164,0.4549,7.157,1.032,1.212,1.164,raw_delquant_flat_file,14.2003,9.484444444444444,4.715855555555557,25.3319,2.3579,1.7839,5.0968,3.5435,1.5533000000000001,12.1446,0.7766,2.3828,3.2608,2.3794444444444443,0.8813555555555559,7.5977,0.4407,2.33,0.9439,0.6557777777777778,0.28812222222222217,1.3561,0.1441,1.4367,0.5491,0.35344444444444445,0.19565555555555558,1.1298,0.0978,2.0575,1.6469,1.0929444444444443,0.5539555555555558,3.131,0.277,1.9011,0.4691,0.4566777777777778,0.012422222222222223,0.5636,0.0062,1.2014,0.7828,0.7742055555555556,0.00859444444444446,0.7908,0.0043,1.0102,1.6758,1.0026111111111111,0.6731888888888888,1.5006,0.3366,0.8955,0.4773,0.41878333333333334,0.05851666666666666,0.4842,0.0293,1.0145
Luka Dončić,1629029,LAL,SG,25.898,7.622,6.185,1.411,0.568,3.106,0.4705,0.7812,2.803,0.4982,6.185,0.568,1.411,2.803,raw_delquant_flat_file,14.2003,9.564941176470587,4.635358823529414,28.2157,2.3177,1.987,5.0968,3.6745882352941175,1.4222117647058825,8.3331,0.7111,1.635,3.2608,2.2321764705882354,1.0286235294117647,6.6993,0.5143,2.0545,0.9439,0.6849411764705883,0.2589588235294117,1.5405,0.1295,1.6321,0.5491,0.36511764705882355,0.18398235294117649,0.66,0.092,1.202,1.6469,1.2188823529411765,0.4280176470588235,3.32,0.214,2.0159,0.4691,0.46496470588235295,0.00413529411764707,0.4726,0.0021,1.0075,0.7828,0.744035294117647,0.038764705882353034,0.8006,0.0194,1.0227,1.6758,0.9627058823529412,0.7130941176470588,3.1595,0.3565,1.8854,0.4773,0.43051764705882356,0.04678235294117644,0.5216,0.0234,1.0928
Giannis Antetokounmpo,203507,MIL,SF,23.818,9.076,4.814,1.021,0.795,2.667,0.5673,0.6697,0.716,0.4561,4.814,0.795,1.021,0.716,raw_delquant_flat_file,14.2003,9.940999999999999,4.259300000000001,25.9477,2.1297,1.8273,5.0968,3.714555555555555,1.3822444444444448,9.7671,0.6911,1.9163,3.2608,2.2494444444444444,1.0113555555555558,5.3197,0.5057,1.6314,0.9439,0.7022222222222223,0.24167777777777766,1.1418,0.1208,1.2097,0.5491,0.381,0.16810000000000003,0.8791,0.0841,1.601,1.6469,1.2697222222222222,0.37717777777777783,2.8556,0.1886,1.7339,0.4691,0.4623055555555556,0.006794444444444436,0.5707,0.0034,1.2166,0.7828,0.7495888888888889,0.03321111111111119,0.6863,0.0166,0.8767,1.6758,1.103,0.5728,1.0024,0.2864,0.5982,0.4773,0.41657777777777777,0.06072222222222223,0.4865,0.0304,1.0193
Victor Wembanyama,1641705,SAS,PF,21.136,9.297,3.175,1.084,2.316,2.577,0.4828,0.8029,1.804,0.5145,3.175,2.316,1.084,1.804,raw_delquant_flat_file,14.2003,8.8863125,5.3139875,23.793,2.657,1.6755,5.0968,3.6095625,1.4872375,10.0406,0.7436,1.97,3.2608,2.0776875,1.1831125,3.7666,0.5916,1.1551,0.9439,0.64025,0.30365,1.2358,0.1518,1.3092,0.5491,0.438375,0.11072500000000002,2.3714,0.0554,4.3187,1.6469,1.095,0.5519000000000001,2.853,0.276,1.7323,0.4691,0.4674875,0.0016125000000000167,0.4836,0.0008,1.0309,0.7828,0.7385375,0.04426250000000009,0.825,0.0221,1.0539,1.6758,0.9138124999999999,0.7619875,2.185,0.381,1.3039,0.4773,0.421575,0.055725000000000025,0.5424,0.0279,1.1364
Shai Gilgeous-Alexander,1628983,OKC,PG,25.972,4.447,5.816,1.455,0.658,2.23,0.5124,0.8719,1.761,0.5085,5.816,0.658,1.455,1.761,raw_delquant_flat_file,14.2003,10.152375,4.047925000000001,27.996,2.024,1.9715,5.0968,3.7781875,1.3186125,5.1063,0.6593,1.0019,3.2608,2.4305,0.8303000000000003,6.2311,0.4151,1.9109,0.9439,0.8349375,0.10896249999999996,1.5095,0.0545,1.5992,0.5491,0.4696875,0.07941250000000005,0.6977,0.0397,1.2706,1.6469,1.19125,0.4556500000000001,2.4578,0.2278,1.4924,0.4691,0.4647125,0.004387500000000044,0.5146,0.0022,1.097,0.7828,0.774775,0.00802500000000006,0.8759,0.004,1.1189,1.6758,1.0983749999999999,0.5774250000000001,2.0497,0.2887,1.2231,0.4773,0.421575,0.055725000000000025,0.5364,0.0279,1.1238
LeBron James,2544,LAL,SF,21.687,7.179,6.831,1.167,0.55,3.105,0.5149,0.7634,1.547,0.5755,6.831,0.55,1.167,1.547,raw_delquant_flat_file,14.2003,9.564941176470587,4.635358823529414,24.0047,2.3177,1.6904,5.0968,3.6745882352941175,1.4222117647058825,7.8901,0.7111,1.548,3.2608,2.2321764705882354,1.0286235294117647,7.3453,0.5143,2.2526,0.9439,0.6849411764705883,0.2589588235294117,1.2965,0.1295,1.3736,0.5491,0.36511764705882355,0.18398235294117649,0.642,0.092,1.1692,1.6469,1.2188823529411765,0.4280176470588235,3.319,0.214,2.0153,0.4691,0.46496470588235295,0.00413529411764707,0.517,0.0021,1.1021,0.7828,0.744035294117647,0.038764705882353034,0.7828,0.0194,1.0,1.6758,0.9627058823529412,0.7130941176470588,1.9035,0.3565,1.1359,0.4773,0.43051764705882356,0.04678235294117644,0.5989,0.0234,1.2548
Joel Embiid,203954,PHI,PF,22.12,8.955,3.594,0.711,1.311,2.592,0.4964,0.8232,0.948,0.472,3.594,1.311,0.711,0.948,raw_delquant_flat_file,14.2003,9.916666666666666,4.283633333333334,24.2618,2.1418,1.7085,5.0968,3.947611111111111,1.1491888888888888,9.5296,0.5746,1.8697,3.2608,2.145888888888889,1.1149111111111112,4.1515,0.5575,1.2732,0.9439,0.7621666666666667,0.1817333333333333,0.8019,0.0909,0.8496,0.5491,0.4476111111111111,0.1014888888888889,1.3617,0.0507,2.4799,1.6469,1.2115,0.4354,2.8097,0.2177,1.7061,0.4691,0.4532722222222222,0.01582777777777783,0.5043,0.0079,1.075,0.7828,0.7502888888888889,0.03251111111111116,0.8395,0.0163,1.0724,1.6758,0.9857777777777778,0.6900222222222222,1.293,0.345,0.7716,0.4773,0.41952222222222224,0.05777777777777776,0.5009,0.0289,1.0494
Anthony Davis,203076,DAL,PF,19.994,9.373,3.134,1.098,1.403,2.015,0.5041,0.7754,0.819,0.4612,3.134,1.403,1.098,0.819,raw_delquant_flat_file,14.2003,9.4712,4.729100000000001,22.3586,2.3646,1.5745,5.0968,3.9284,1.1684,9.9572,0.5842,1.9536,3.2608,2.088,1.1728,3.7204,0.5864,1.1409,0.9439,0.6827500000000001,0.2611499999999999,1.2286,0.1306,1.3016,0.5491,0.4574,0.09170000000000006,1.4488,0.0458,2.6385,1.6469,1.1912,0.4557,2.2429,0.2279,1.3619,0.4691,0.463675,0.005425000000000013,0.5068,0.0027,1.0804,0.7828,0.755695,0.027105000000000046,0.789,0.0136,1.0079,1.6758,0.893,0.7827999999999999,1.2104,0.3914,0.7223,0.4773,0.41499499999999995,0.062305000000000055,0.4924,0.0312,1.0316
Alperen Sengun,1630578,HOU,C,18.564,9.435,4.288,1.026,1.157,2.575,0.521,0.6951,0.454,0.4987,4.288,1.157,1.026,0.454,raw_delquant_flat_file,14.2003,8.824733333333334,5.375566666666666,21.2518,2.6878,1.4966,5.0968,4.1628,0.9340000000000002,9.902,0.467,1.9428,3.2608,1.8478666666666668,1.4129333333333334,4.9945,0.7065,1.5317,0.9439,0.6666000000000001,0.2772999999999999,1.1646,0.1386,1.2338,0.5491,0.48633333333333334,0.06276666666666669,1.1884,0.0314,2.1643,1.6469,1.1314666666666668,0.5154333333333332,2.8327,0.2577,1.72,0.4691,0.45740666666666663,0.011693333333333389,0.5268,0.0058,1.123,0.7828,0.7326733333333333,0.050126666666666764,0.7202,0.0251,0.92,1.6758,0.7818666666666666,0.8939333333333334,0.901,0.447,0.5377,0.4773,0.4135466666666667,0.06375333333333333,0.5306,0.0319,1.1117
Jayson Tatum,1628369,BOS,SG,21.285,8.237,4.402,1.145,0.471,2.341,0.4481,0.8077,2.371,0.4964,4.402,0.471,1.145,2.371,raw_delquant_flat_file,14.2003,10.554846153846153,3.6454538461538473,23.1077,1.8227,1.6273,5.0968,4.29,0.8068,8.6404,0.4034,1.6953,3.2608,2.3656923076923078,0.8951076923076924,4.8496,0.4476,1.4872,0.9439,0.6874615384615385,0.2564384615384615,1.2732,0.1282,1.3489,0.5491,0.4480769230769231,0.10102307692307694,0.5215,0.0505,0.9497,1.6469,1.1839230769230769,0.4629769230769232,2.5725,0.2315,1.562,0.4691,0.4659153846153846,0.003184615384615397,0.4497,0.0016,0.9586,0.7828,0.764453846153846,0.018346153846154012,0.8169,0.0092,1.0436,1.6758,1.2137692307692307,0.46203076923076924,2.602,0.231,1.5527,0.4773,0.4291384615384616,0.04816153846153842,0.5205,0.0241,1.0905
