player_name,player_id,team,position,PTS,REB,AST,STL,BLK,TO,FG_PCT,FT_PCT,THREE_PM,USG_PCT,ast_pg,blk_pg,stl_pg,threepm_pg,context_neutral_source,league_avg_PTS,team_avg_PTS,context_delta_PTS,context_neutral_PTS,context_neutral_delta_PTS,context_neutral_ratio_PTS,league_avg_REB,team_avg_REB,context_delta_REB,context_neutral_REB,context_neutral_delta_REB,context_neutral_ratio_REB,league_avg_AST,team_avg_AST,context_delta_AST,context_neutral_AST,context_neutral_delta_AST,context_neutral_ratio_AST,league_avg_STL,team_avg_STL,context_delta_STL,context_neutral_STL,context_neutral_delta_STL,context_neutral_ratio_STL,league_avg_BLK,team_avg_BLK,context_delta_BLK,context_neutral_BLK,context_neutral_delta_BLK,context_neutral_ratio_BLK,league_avg_TO,team_avg_TO,context_delta_TO,context_neutral_TO,context_neutral_delta_TO,context_neutral_ratio_TO,league_avg_FG_PCT,team_avg_FG_PCT,context_delta_FG_PCT,context_neutral_FG_PCT,context_neutral_delta_FG_PCT,context_neutral_ratio_FG_PCT,league_avg_FT_PCT,team_avg_FT_PCT,context_delta_FT_PCT,context_neutral_FT_PCT,context_neutral_delta_FT_PCT,context_neutral_ratio_FT_PCT,league_avg_THREE_PM,team_avg_THREE_PM,context_delta_THREE_PM,context_neutral_THREE_PM,context_neutral_delta_THREE_PM,context_neutral_ratio_THREE_PM,league_avg_USG_PCT,team_avg_USG_PCT,context_delta_USG_PCT,context_neutral_USG_PCT,context_neutral_delta_USG_PCT,context_neutral_ratio_USG_PCT,projected_games,projected_minutes,fta,z_PTS,z_REB,z_AST,z_STL,z_BLK,z_THREE_PM,z_TO,z_FG_PCT,z_FT_PCT,z_USG_PCT,z_projected_games,z_projected_minutes,z_fta,weighted_score,projected_games_used,sim_mean_salary,sim_median_salary,sim_p25_salary,sim_p75_salary,sim_salary_std,sim_mean_score,fmv_band
Nikola Jokić,203999,DEN,C,22.974,11.368,7.157,1.212,1.032,2.854,0.5574,0.7865,1.164,0.4549,7.157,1.032,1.212,1.164,raw_dbb2_flat_file,14.2003,9.484444444444444,4.715855555555557,25.3319,2.3579,1.7839,5.0968,3.5435,1.5533,12.1446,0.7766,2.3828,3.2608,2.3794444444444443,0.8813555555555559,7.5977,0.4407,2.33,0.9439,0.6557777777777778,0.2881222222222221,1.3561,0.1441,1.4367,0.5491,0.3534444444444444,0.1956555555555555,1.1298,0.0978,2.0575,1.6469,1.0929444444444445,0.5539555555555558,3.131,0.277,1.9011,0.4691,0.4566777777777778,0.0124222222222222,0.5636,0.0062,1.2014,0.7828,0.7742055555555556,0.0085944444444444,0.7908,0.0043,1.0102,1.6758,1.0026111111111111,0.6731888888888888,1.5006,0.3366,0.8955,0.4773,0.4187833333333333,0.0585166666666666,0.4842,0.0293,1.0145,66,34.06551225282451,5.768109282251302,3.2816966032011483,2.260405301451719,4.96140778362125,3.102825350628903,0.5816058747946095,2.8467862554770433,3.489717301990075,0.4827940195236498,1.8939853959659303,1.624748056263881,0.8387153386224427,2.0125432390884392,3.234293871821393,37.8146,66.0,46239453.0,46239453.0,46239453.0,46239453.0,0.0,30.4332,star
Shai Gilgeous-Alexander,1628983,OKC,PG,25.972,4.447,5.816,1.455,0.658,2.23,0.5124,0.8719,1.761,0.5085,5.816,0.658,1.455,1.761,raw_dbb2_flat_file,14.2003,10.152375,4.047925000000001,27.996,2.024,1.9715,5.0968,3.7781875,1.3186125,5.1063,0.6593,1.0019,3.2608,2.4305,0.8303000000000003,6.2311,0.4151,1.9109,0.9439,0.8349375,0.1089624999999999,1.5095,0.0545,1.5992,0.5491,0.4696875,0.0794125,0.6977,0.0397,1.2706,1.6469,1.19125,0.4556500000000001,2.4578,0.2278,1.4924,0.4691,0.4647125,0.0043875,0.5146,0.0022,1.097,0.7828,0.774775,0.008025,0.8759,0.004,1.1189,1.6758,1.098375,0.5774250000000001,2.0497,0.2887,1.2231,0.4773,0.421575,0.055725,0.5364,0.0279,1.1238,69,33.5097709232156,6.932253861621031,3.1604240481669255,1.620975990486343,1.9620218731718708,2.080525027836748,3.0619456015413125,0.8082704896274265,1.4984521718112143,2.7784615303638502,1.6641768238474122,1.63897084551285,1.1625123505725439,1.6373760695350252,4.095769444723277,32.9826,69.0,45820594.27,45823505.9,45823505.9,45823505.9,34678.62,27.7434,star
Kevin Durant,201142,HOU,SF,22.796,6.06,4.205,0.895,0.886,2.741,0.5012,0.8419,1.951,0.5263,4.205,0.886,0.895,1.951,raw_dbb2_flat_file,14.2003,8.824733333333334,5.375566666666666,25.4838,2.6878,1.7946,5.0968,4.1628,0.9340000000000002,6.527,0.467,1.2806,3.2608,1.8478666666666668,1.4129333333333334,4.9115,0.7065,1.5062,0.9439,0.6666000000000001,0.2772999999999999,1.0336,0.1386,1.095,0.5491,0.4863333333333333,0.0627666666666666,0.9174,0.0314,1.6707,1.6469,1.1314666666666668,0.5154333333333332,2.9987,0.2577,1.8208,0.4691,0.4574066666666666,0.0116933333333333,0.507,0.0058,1.0808,0.7828,0.7326733333333333,0.0501266666666667,0.867,0.0251,1.1076,1.6758,0.7818666666666666,0.8939333333333334,2.398,0.447,1.431,0.4773,0.4135466666666667,0.0637533333333333,0.5582,0.0319,1.1695,72,34.94852090865395,5.235912173009032,2.6643102562179797,1.149805473754644,2.4364920679294317,0.9387466086361069,2.0721011736098744,2.154487196157969,2.8288872962660077,1.2417953875904781,2.1965780505109915,2.2222046900435166,1.4036335096233983,1.7968261236328154,2.3647267001622643,29.6806,72.0,45410470.42,45407558.79,45407558.79,45407558.79,34678.62,26.0578,star
Jamal Murray,1627750,DEN,PG,20.754,4.108,5.967,1.112,0.41,2.147,0.4706,0.8613,2.411,0.4848,5.967,0.41,1.112,2.411,raw_dbb2_flat_file,14.2003,9.484444444444444,4.715855555555557,23.1119,2.3579,1.6276,5.0968,3.5435,1.5533,4.8846,0.7766,0.9584,3.2608,2.3794444444444443,0.8813555555555559,6.4077,0.4407,1.9651,0.9439,0.6557777777777778,0.2881222222222221,1.2561,0.1441,1.3308,0.5491,0.3534444444444444,0.1956555555555555,0.5078,0.0978,0.9248,1.6469,1.0929444444444445,0.5539555555555558,2.424,0.277,1.4719,0.4691,0.4566777777777778,0.0124222222222222,0.4768,0.0062,1.0164,0.7828,0.7742055555555556,0.0085944444444444,0.8656,0.0043,1.1058,1.6758,1.0026111111111111,0.6731888888888888,2.7476,0.3366,1.6396,0.4773,0.4187833333333333,0.0585166666666666,0.5141,0.0293,1.0771,69,34.18067936349443,4.033677824809255,2.199678830165545,1.4154347292938836,2.08111236744032,1.212794818966458,1.5731708027696805,1.985133257991779,1.4449825802672513,1.458994442567771,1.4247502705577926,1.1376251127338146,1.1625123505725439,1.7266184297360931,1.7675313206912564,27.7538,69.0,44648039.38,44991611.69,44575664.59,44991611.69,460505.11,23.345,star
Tyrese Maxey,1630178,PHI,PG,22.907,3.952,5.63,1.461,0.493,2.231,0.451,0.8623,2.511,0.5178,5.63,0.493,1.461,2.511,raw_dbb2_flat_file,14.2003,9.916666666666666,4.283633333333334,25.0488,2.1418,1.764,5.0968,3.947611111111111,1.1491888888888888,4.5266,0.5746,0.8881,3.2608,2.145888888888889,1.1149111111111112,6.1875,0.5575,1.8975,0.9439,0.7621666666666667,0.1817333333333333,1.5519,0.0909,1.6441,0.5491,0.4476111111111111,0.1014888888888889,0.5437,0.0507,0.9902,1.6469,1.2115,0.4354,2.4487,0.2177,1.4869,0.4691,0.4532722222222222,0.0158277777777778,0.4589,0.0079,0.9783,0.7828,0.7502888888888889,0.0325111111111111,0.8786,0.0163,1.1224,1.6758,0.9857777777777778,0.6900222222222222,2.856,0.345,1.7043,0.4773,0.4195222222222222,0.0577777777777777,0.5467,0.0289,1.1454,65,35.80921163137341,4.917537958550342,2.5806840128495354,1.0835277761729984,1.9326201429900798,2.225717454261769,1.85461901380655,2.1679272457990524,1.484056512549378,0.8341674353839116,1.7269391242243037,1.8705341211910587,0.9055901526873426,1.943241227309957,2.477478837524905,29.0355,65.0,44265368.05,44575664.59,43743770.38,44575664.59,617437.57,23.0072,star
LeBron James,2544,LAL,SF,21.687,7.179,6.831,1.167,0.55,3.105,0.5149,0.7634,1.547,0.5755,6.831,0.55,1.167,1.547,raw_dbb2_flat_file,14.2003,9.564941176470589,4.635358823529414,24.0047,2.3177,1.6904,5.0968,3.6745882352941175,1.4222117647058825,7.8901,0.7111,1.548,3.2608,2.2321764705882354,1.0286235294117647,7.3453,0.5143,2.2526,0.9439,0.6849411764705883,0.2589588235294117,1.2965,0.1295,1.3736,0.5491,0.3651176470588235,0.1839823529411764,0.642,0.092,1.1692,1.6469,1.2188823529411763,0.4280176470588235,3.319,0.214,2.0153,0.4691,0.4649647058823529,0.004135294117647,0.517,0.0021,1.1021,0.7828,0.744035294117647,0.038764705882353,0.7828,0.0194,1.0,1.6758,0.9627058823529412,0.7130941176470588,1.9035,0.3565,1.1359,0.4773,0.4305176470588235,0.0467823529411764,0.5989,0.0234,1.2548,63,33.82225177391475,5.145000403585306,2.385577991308288,1.98290547047247,4.599969342912698,1.8689515582754967,0.6821191259930477,1.2278624806123113,3.3570802044459773,1.5549183889798293,0.6557691791976359,2.9802139429996974,0.7915123595729991,1.658557943604724,2.2998210639954664,29.8676,63.0,44180098.89,44159717.48,43743770.38,44575664.59,613659.3,22.9482,star
Derrick White,1628401,BOS,PG,16.149,4.142,5.03,1.103,0.848,1.844,0.4281,0.86,2.49,0.4823,5.03,0.848,1.103,2.49,raw_dbb2_flat_file,14.2003,10.554846153846151,3.6454538461538473,17.9717,1.8227,1.2656,5.0968,4.29,0.8068,4.5454,0.4034,0.8918,3.2608,2.365692307692308,0.8951076923076924,5.4776,0.4476,1.6798,0.9439,0.6874615384615385,0.2564384615384615,1.2312,0.1282,1.3044,0.5491,0.4480769230769231,0.1010230769230769,0.8985,0.0505,1.6363,1.6469,1.1839230769230769,0.4629769230769232,2.0755,0.2315,1.2602,0.4691,0.4659153846153846,0.0031846153846153,0.4297,0.0016,0.916,0.7828,0.764453846153846,0.018346153846154,0.8692,0.0092,1.1104,1.6758,1.2137692307692307,0.4620307692307692,2.721,0.231,1.6237,0.4773,0.4291384615384616,0.0481615384615384,0.5064,0.0241,1.061,73,33.315140934712325,2.7795484409949367,1.1885565006533125,1.1009575267838156,1.4538979352824257,1.1275285119385567,4.636174035418847,1.9402779067401794,0.8936762887562762,-0.1851034366702021,1.5084333377269787,0.9645147027607833,1.419434548457745,1.6114869340030291,0.760170531537361,25.3707,73.0,43673891.27,43743770.38,43327823.28,44159717.48,659217.24,22.6005,star
Cade Cunningham,1630595,DET,PG,21.269,4.917,7.299,1.209,0.561,3.174,0.457,0.8246,1.862,0.5231,7.299,0.561,1.209,1.862,raw_dbb2_flat_file,14.2003,8.7513125,5.448987500000001,23.9935,2.7245,1.6896,5.0968,3.5715,1.5253,5.6796,0.7626,1.1143,3.2608,2.12,1.1408,7.8694,0.5704,2.4133,0.9439,0.7265625,0.2173374999999999,1.3177,0.1087,1.396,0.5491,0.4360625,0.1130375,0.6175,0.0565,1.1246,1.6469,1.1275,0.5194000000000001,3.4337,0.2597,2.0849,0.4691,0.4586375,0.0104624999999999,0.4622,0.0052,0.9853,0.7828,0.7500125,0.0327875,0.841,0.0164,1.0743,1.6758,0.86675,0.8090499999999999,2.2665,0.4045,1.3525,0.4773,0.41046875,0.06683125,0.5565,0.0334,1.1659,66,33.710530334517664,4.731644151671705,2.373097266354407,2.152490672676856,3.066812115300973,1.4237347592443188,2.433195001954768,1.1738584652419728,3.0422679820997662,0.9493590065407133,0.8529159782350086,2.090856461156734,0.9698207021586428,1.664080523707233,2.3281623998328502,27.8516,66.0,43363594.73,43327823.28,42911876.17,43743770.38,650076.75,22.4059,star
James Harden,201935,CLE,PG,19.137,4.608,7.329,1.173,0.446,2.995,0.4335,0.8748,2.536,0.4201,7.329,0.446,1.173,2.536,raw_dbb2_flat_file,14.2003,9.61441176470588,4.585888235294119,21.4299,2.2929,1.5091,5.0968,3.805411764705883,1.291388235294117,5.2537,0.6457,1.0308,3.2608,2.461058823529412,0.7997411764705884,7.7289,0.3999,2.3702,0.9439,0.7529411764705882,0.1909588235294117,1.2685,0.0955,1.3439,0.5491,0.4275294117647059,0.1215705882352941,0.5068,0.0608,0.923,1.6469,1.1886470588235294,0.4582529411764706,3.2241,0.2291,1.9577,0.4691,0.4603,0.0088,0.4379,0.0044,0.9335,0.7828,0.773,0.0098,0.8797,0.0049,1.1238,1.6758,1.1414705882352942,0.5343294117647057,2.8032,0.2672,1.6728,0.4773,0.4022529411764706,0.0750470588235294,0.4576,0.0375,0.9587,70,33.83115316390697,5.386737317662037,1.8688147084894289,1.7576326521903056,2.97206571414176,1.2552567549964166,1.5653310197324417,2.0788910598560264,2.7106932369040693,0.10113016438609009,1.7525089503037776,-0.1326006227825763,1.2267429000438441,1.6801254343724774,2.854356249668562,26.173,70.0,43262935.53,43327823.28,42911876.17,43743770.38,672197.29,22.3436,star
Desmond Bane,1630217,ORL,PG,19.304,4.447,4.775,1.124,0.403,2.231,0.4687,0.8691,2.155,0.5085,4.775,0.403,1.124,2.155,raw_dbb2_flat_file,14.2003,9.959933333333334,4.240366666666667,21.4242,2.1202,1.5087,5.0968,3.8836,1.2132,5.0536,0.6066,0.9915,3.2608,2.1512666666666664,1.1095333333333337,5.3298,0.5548,1.6345,0.9439,0.7268000000000001,0.2170999999999998,1.2326,0.1086,1.3059,0.5491,0.4478,0.1013,0.4537,0.0507,0.8263,1.6469,1.2436666666666667,0.4032333333333333,2.4326,0.2016,1.4771,0.4691,0.4565933333333333,0.0125066666666666,0.475,0.0063,1.0126,0.7828,0.7623666666666666,0.0204333333333334,0.8793,0.0102,1.1233,1.6758,0.9354666666666668,0.7403333333333333,2.5252,0.3702,1.5069,0.4773,0.4337466666666666,0.0435533333333333,0.5303,0.0218,1.111,71,33.24107044524496,3.7665791352967055,1.8676934686002766,1.5721170619124027,1.3542287673725915,1.1323226014903258,1.1490385404550656,1.610102050534791,1.4585872692399753,1.3961626764822426,1.743210831729422,1.50183142981993,1.2909734495151444,1.6016342851101804,1.5529882678596598,24.8783,71.0,42053361.35,42079981.97,41664034.86,42495929.07,649184.57,21.5243,star
