player_id,player_name,team,position,role,age,projected_games,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_pct,three_pt_pct,ft_pct,fta,fantasy_points,consistency,offense_projection_raw,offense_recent_blend,offense_baseline_score,offense_trend,offense_availability_factor,offense_history_seasons,offense_baseline_sample_size,offense_age_band,defense_projection_raw,defense_recent_blend,defense_baseline_score,defense_trend,defense_availability_factor,defense_history_seasons,defense_baseline_sample_size,defense_age_band,offense_projection_z,defense_projection_z,advanced_projection_raw,advanced_projection_z,offense_projection_band,defense_projection_band,advanced_projection_band,offense_wins_component,defense_wins_component,strict_wins,strict_wins_gap_from_baseline
1628983,Shai Gilgeous-Alexander,OKC,G,Starter,27,69,33.5097709232156,25.97224223974764,4.446714245582816,5.816243714922617,1.4550604093385244,0.6579360918137753,2.23015340315648,0.512356707835712,0.3730224493484358,0.8719141581884637,6.932253861621031,44.14150100713137,77,1.9735,3.3909,0.1699,3.8479,0.75,24,6780,24-27,0.7684,1.3566,-0.0093,-0.6262,1.0266,18,2254,24-27,3.360062157625584,1.0024760611615222,1.431205,3.42577771492916,elite,above,elite,4.407,1.404,11.811,5.811
1642530,Yuki Kawamura,CHI,G,Bench,24,24,10.654096359235462,3.710785261361125,1.405160758344056,1.5191089122403647,0.4221240499164626,0.0706145537964882,0.6204594997419127,0.3878565514394138,0.3197155624083843,0.794750786074184,0.7915395845273772,8.533397851131479,57,0.0632,0.5816,-0.8032,-0.9306,0.75,6,637,24-27,2.7114,2.9025,0.3726,5.0446,1.15,3,152,24-27,-0.2351236056796638,3.783753600818332,1.2548899999999998,2.9601113303627056,average,elite,elite,0.141,4.954,11.095,5.095
1630167,Obi Toppin,IND,F,Rotation,28,49,20.0175554813036,10.025967795086656,4.250297303422192,1.7032903589616906,0.5709831358528508,0.3195044814913524,0.9990822664347462,0.5043057433919065,0.3656408444628304,0.8090299272158352,1.683124404693809,19.353640683233685,66,1.3281,1.8913,0.0276,2.9597,0.8668,18,901,28-31,1.149,1.5955,0.0602,0.2375,1.15,29,343,28-31,2.265865613503013,1.57720480524383,1.247505,3.116190257726971,elite,elite,elite,2.966,2.099,11.065,5.065
1630200,Tre Jones,CHI,G,Rotation,26,60,23.868012933109902,10.230749943369188,2.8762728356440856,4.110865512834365,0.9320165278436604,0.1977395978494061,1.242415370420499,0.496588138395907,0.3483097562632858,0.8258005627267619,2.152177664852797,21.995428622052334,70,2.0891,2.4555,0.0582,3.7149,1.054,18,1309,24-27,0.1644,0.0021,0.0744,1.1933,1.15,26,913,24-27,3.577621428021902,0.1378895279897708,1.2229850000000002,2.875846883210776,elite,average,elite,4.665,0.3,10.965,4.965
1628392,Isaiah Hartenstein,OKC,C,Rotation,27,53,23.97195059056206,8.803211687258313,8.19242548858171,2.494689385842097,0.8128597973476365,0.9646621556361916,1.415983737521208,0.5837055496769378,0.2356032227134905,0.6562862288603462,2.1132443982068607,26.29273847374979,72,1.1991,1.4459,0.0582,2.4604,0.9989,24,1309,24-27,1.0831,1.5893,0.1525,-0.5747,1.15,34,236,24-27,1.734582649636817,1.5258472308602224,1.1469,2.8128717943891925,elite,elite,elite,2.678,1.979,10.657,4.657
204456,T.J. McConnell,IND,G,Rotation,34,59,18.9029374952614,8.691324884893266,2.3595530100638964,4.073198375505806,0.9187398336536718,0.191697907047658,1.2297685483452934,0.4977604531405152,0.3492786575096215,0.7944838399327172,0.9448153575774828,19.734130733987342,72,1.9058,2.3795,-0.0177,4.5483,0.9543,33,610,32+,0.1915,0.2627,-0.0463,0.2276,1.15,55,315,32+,3.2326507163986737,0.1766814072098941,1.1343649999999998,2.641792179979177,elite,average,elite,4.256,0.35,10.606,4.606
1629750,Javonte Green,DET,G,Rotation,32,61,19.174032841043303,6.842916251515051,2.7102218503483746,1.464693830636096,0.9745501449887556,0.2911234347852686,0.7514879611601238,0.4313880339764228,0.3609014926333146,0.8024644697615265,1.3705998826628254,15.337755996049191,63,0.3526,0.4106,-0.0177,0.9816,0.9778,18,610,32+,2.0327,2.3482,-0.0463,3.7255,1.15,26,315,32+,0.3095273705547174,2.812238898726167,1.108645,2.5738629657259997,average,elite,elite,0.787,3.714,10.501,4.501
1630191,Isaiah Stewart,DET,F,Rotation,24,58,22.4798505834992,8.704318698040304,4.999324180554656,1.3423582812722263,0.466962623195726,1.0135594523344362,1.088931972099742,0.506808546164827,0.3493460704494066,0.7410220844004515,1.8543258220381864,20.069679391104973,67,0.427,0.4706,0.0582,1.0444,1.0049,18,1309,24-27,1.9234,2.1864,0.1733,3.0866,1.15,18,714,24-27,0.5524149524846451,2.6574170807331603,1.10038,2.72238345546728,above,elite,elite,0.954,3.514,10.468,4.468
1630699,MarJon Beauchamp,PHI,F,Bench,25,26,11.30433218754601,4.535588446073487,2.165072530415627,0.7138605090952913,0.3899902594981947,0.2516116837674418,0.6286667890056011,0.4462510453043926,0.3442470738399629,0.7031278065376826,0.9325904428038596,9.500605287006485,51,-0.2002,0.0047,-0.8032,-0.5862,0.7808,9,637,24-27,2.663,3.3136,0.2252,2.5994,1.15,17,98,24-27,-0.6402121195281396,3.6890867591318015,1.08824,2.68988853903953,below,elite,elite,-0.447,4.866,10.419,4.419
1630245,Ayo Dosunmu,MIN,G,Rotation,26,61,25.997366122035068,11.604660942465882,3.02842350949715,3.302284959799097,0.845229274719892,0.2966381005829377,1.347315060420579,0.4813089158532279,0.3849599174262522,0.8234327117469094,1.774650695330584,22.270483659049017,66,1.513,1.6378,0.0582,2.812,1.1122,15,1309,24-27,0.5589,0.8413,0.0744,-0.4107,1.15,23,913,24-27,2.4934008771973435,0.7025905004007905,1.083655,2.507861757942681,elite,above,elite,3.379,1.021,10.4,4.4
1642844,Dylan Harper,SAS,G,Rotation,20,66,22.059995533805694,10.105269073447706,3.057322439361056,3.1448198401018246,0.7920392211983996,0.3049665480529637,1.3841994724114848,0.4670458033282927,0.3422818917585641,0.765036606712716,1.7254040709393856,20.39810359617632,72,1.2521,1.5639,-0.2397,2.2278,1.0616,3,907,21-23,0.8098,0.9994,0.1139,0.7038,1.15,6,799,21-23,2.002386918318456,1.061737455984884,1.053065,2.427070363541253,elite,above,elite,2.796,1.48,10.276,4.276
1642349,Ajay Mitchell,OKC,G,Rotation,23,55,21.856851235863072,9.798464295269786,2.728628440295932,2.668547830118724,0.9109002268313352,0.2402939275331742,1.2170864081836283,0.4630063037869898,0.3559648361769575,0.8280860745638282,1.8936672934916363,19.31213622371289,72,0.3948,0.987,-0.2397,-1.7316,0.9666,6,907,21-23,1.6804,2.225,0.1139,0.9201,1.15,9,799,21-23,0.3889477962530273,2.307944468864564,0.97332,2.216455464994607,above,elite,elite,0.882,3.07,9.952,3.952
1630596,Evan Mobley,CLE,C,Starter,24,65,31.62610590381789,17.04005892496109,9.289484873435423,2.926119502107196,0.805310565459569,1.6080719336832432,1.9975246788861265,0.5497387246695792,0.3338928185632803,0.675401431467513,4.388991923647678,37.81924284478672,67,0.9628,1.5299,0.1699,2.4685,0.75,15,6780,24-27,0.9191,1.3122,-0.0132,1.2671,1.01,9,508,24-27,1.3128805218257078,1.2798024307631883,0.943135,2.235232814446732,elite,elite,elite,2.15,1.679,9.829,3.829
1630194,Paul Reed,DET,F,Bench,26,53,12.988823354527348,5.595143288200195,3.557178443319504,0.9541825757218604,0.6508792175729735,0.6281653230595237,0.7053203443170509,0.533258512489381,0.3236446056481566,0.6930828206680534,1.2044464146444454,14.42684456134683,53,1.1592,1.5133,-0.8032,2.251,1.15,18,637,24-27,0.6646,0.984,0.2252,-0.8004,1.15,29,98,24-27,1.9447005744995705,0.9015141721768984,0.93663,2.2840768191374634,elite,above,elite,2.589,1.214,9.803,3.803
1642959,Chris Youngblood,POR,G,Scrub,24,25,5.635052347379469,1.970256891387012,0.8151290847246192,0.5397162497311363,0.1829020887510119,0.0677049401644692,0.2424225810983927,0.3556740405700023,0.3008737879872465,0.767102881188287,0.3854032479808187,4.267384673301311,68,0.5138,1.1324,-1.5874,2.0373,0.9464,3,190,24-27,1.4359,1.9704,0.3726,-0.4538,1.15,5,152,24-27,0.6129058687198256,1.957958695088913,0.9287450000000002,2.098728220619201,above,elite,elite,1.147,2.624,9.771,3.771
203507,Giannis Antetokounmpo,MIL,F,Starter,31,52,32.100584462586426,23.817846104718303,9.076022001580808,4.81408856476153,1.0207529692021031,0.7946522903588069,2.6668671005558253,0.567310729337513,0.3416076232954783,0.6696531373518048,7.686524532063908,44.70955403188447,69,1.059,2.1339,0.173,-0.1822,0.75,39,4542,28-31,0.7148,1.4918,-0.0316,-0.847,0.8925,38,1195,28-31,1.7541692724975275,0.971538263382431,0.90411,2.197031128673673,elite,above,elite,2.365,1.306,9.671,3.671
1629731,Dean Wade,CLE,F,Rotation,29,59,21.790368640822862,6.889446290392282,4.255676402310929,1.325020493687049,0.6832293462077095,0.4097207021716048,0.6127764290706372,0.4482590343089007,0.3670976719487432,0.7282448903774318,1.09376706087777,16.64986242976327,65,1.1836,1.3428,0.0276,3.1553,0.9902,18,901,28-31,0.4618,0.5565,0.0602,0.4958,1.15,29,343,28-31,1.991097418500068,0.6186280029242691,0.8587899999999999,2.075723911828071,elite,above,elite,2.643,0.844,9.487,3.487
1629660,Ty Jerome,MEM,G,Rotation,28,32,21.785694979551096,13.032463017628944,2.655528723896194,3.708890591065772,0.9637195512423968,0.1917640548387241,1.4046078969269344,0.4676569065902468,0.4038854723300186,0.8537438719797393,2.369848631862219,23.84427629421947,76,1.7624,2.9502,0.0276,3.7187,0.7675,18,901,28-31,-0.2595,-0.5601,0.1577,0.2318,0.9771,25,441,28-31,2.9627718290731373,-0.4688956233537812,0.8525450000000001,1.8974760384227705,elite,below,elite,3.936,-0.474,9.462,3.462
1642352,Keshad Johnson,MIA,F,Bench,24,32,9.99386452426464,3.9169265061311673,2.1726856493947624,0.4944194399199715,0.3800828986491036,0.3050095047402796,0.465719827700795,0.4842460152103206,0.3231266883210322,0.686119281569747,0.8867208257739996,8.855335827752194,50,0.208,0.7299,-0.8032,-0.1186,0.7946,6,637,24-27,1.6047,2.3083,0.2252,-0.572,1.15,5,98,24-27,0.135984262480181,2.2128617447330963,0.8365150000000001,2.0161008258784734,average,elite,elite,0.465,2.932,9.397,3.397
1630188,Jalen Smith,CHI,F,Rotation,26,57,19.7164937518596,9.07317877937632,5.400004346730281,1.2090881192088938,0.4987112417710461,0.6260298874799101,0.9016924346910692,0.4876893530538592,0.3619044088725909,0.7378135046433052,1.7145897751339343,19.8393471273278,66,0.543,0.6578,0.0582,1.4068,0.9318,18,1309,24-27,1.1806,1.4746,0.1733,0.8986,1.15,28,714,24-27,0.7729901124870098,1.6212837152457191,0.82992,1.9984481097465945,above,elite,elite,1.213,2.157,9.37,3.37
1630163,LaMelo Ball,CHA,G,Rotation,24,56,26.30200189263392,16.216079687400384,3.9174168140454,5.203355880322189,1.0844154125968553,0.241286619664229,2.338295472504908,0.4164909156865348,0.356034727101506,0.8450055896318226,2.758809414704434,30.36082430901649,76,1.5785,1.8332,0.0582,2.5775,1.0783,18,1309,24-27,-0.1741,-0.2331,0.0744,-0.3389,1.15,17,913,24-27,2.6166719170845307,-0.346651103597378,0.78983,1.7318391538236997,elite,average,elite,3.525,-0.318,9.207,3.207
1628378,Donovan Mitchell,CLE,G,Starter,29,67,33.18875847188718,22.61869689257144,4.379101514651342,5.281712704938323,1.397502052557946,0.3187039088283547,2.402889019346526,0.4626268791436382,0.3676198805472389,0.8449126393506146,4.902801338678081,38.54191663237292,74,0.6075,1.5574,0.173,-2.4557,0.75,27,4542,28-31,0.9947,1.2382,-0.0817,2.6961,1.0067,33,1495,28-31,0.789249325779817,1.3264097241694153,0.7817400000000001,1.7104726163700366,above,elite,elite,1.357,1.817,9.174,3.174
1627759,Jaylen Brown,BOS,G,Starter,29,68,33.778027937658926,22.126107789707557,5.409928427640707,4.727022421275834,1.1426261541131402,0.3568372310956672,2.6887560903114456,0.4695591381961536,0.3520862642796152,0.7873442226270035,5.156666759713678,37.51818960010513,73,1.0838,1.8507,0.173,1.9891,0.75,30,4542,28-31,0.3981,0.7146,-0.0817,-0.1171,1.0143,30,1495,28-31,1.685646215829699,0.4724158074636753,0.7752350000000001,1.6932922299502493,elite,above,elite,2.42,0.727,9.147,3.147
1626164,Devin Booker,PHX,G,Starter,29,66,34.37806990093482,22.455759156133603,4.03087718997125,5.878173961902278,0.992228374327174,0.2961502239527442,2.6312807730717576,0.4604754605413545,0.3485590582393942,0.867161002225154,5.876393968447109,37.34392774872051,74,1.1446,1.9658,0.173,2.0513,0.75,33,4542,28-31,0.3206,0.5973,-0.0817,-0.1306,0.9992,31,1495,28-31,1.800071852854752,0.3614796215020681,0.7738,1.6895022446293584,elite,above,elite,2.556,0.586,9.142,3.142
1629674,Neemias Queta,BOS,C,Rotation,26,62,20.300695188448483,7.898056524340047,6.186830502400573,1.184929939318824,0.5707893572914245,1.005660285051921,0.945624662056975,0.5927387699872418,0.2945737375252798,0.6897473405769549,1.860968213895804,20.88337230117203,65,0.3057,0.8558,0.0582,-2.6095,0.9867,12,1309,24-27,1.3327,1.4372,0.1525,2.5078,1.15,12,236,24-27,0.1402166700073421,1.9003154144225385,0.76785,1.7383297712390458,average,elite,elite,0.683,2.435,9.118,3.118
1630193,Immanuel Quickley,TOR,G,Starter,26,63,31.472119977887303,16.89146229834691,3.9938046732683032,5.343086736103928,1.1102202801641567,0.19956144704736,1.8391805685307228,0.4401449247831121,0.3742148184867939,0.8325380476954737,3.5589271325329888,31.7888226235286,71,1.2351,1.9872,0.1699,3.1264,0.75,18,6780,24-27,0.1016,0.2594,-0.0093,-0.493,0.9808,17,2254,24-27,1.9703929079660565,0.0479954314944297,0.725025,1.5606823602903697,elite,average,elite,2.758,0.186,8.944,2.944
