player_name,team,strict_wins,vorp,strict_wins_rank,vorp_rank,rank_delta,z_delta,percentile_delta,ws_48,win_shares
Shai Gilgeous-Alexander,OKC,11.811,7.8,1.0,1.0,0.0,-2.912107744380553,0.0,0.323,15.2
Yuki Kawamura,CHI,11.095,-0.1,2.0,327.0,-325.0,3.5782040792796694,-0.739451476793249,0.069,0.3
Obi Toppin,IND,11.065,0.5,3.0,169.0,-166.0,3.0305832294074735,-0.3628691983122363,0.124,1.1
Tre Jones,CHI,10.965,1.5,4.0,73.0,-69.0,2.085477251013056,-0.1550632911392405,0.157,5.7
Isaiah Hartenstein,OKC,10.657,1.8,5.0,56.0,-51.0,1.6217760931041083,-0.1139240506329114,0.223,5.3
T.J. McConnell,IND,10.606,1.1,6.0,103.0,-97.0,2.204931238083563,-0.2130801687763713,0.132,2.6
Javonte Green,DET,10.501,1.5,7.0,73.0,-66.0,1.784762916202808,-0.1487341772151899,0.156,4.7
Isaiah Stewart,DET,10.468,0.7,8.0,141.0,-133.0,2.467613388932226,-0.29535864978902954,0.149,4.1
MarJon Beauchamp,PHI,10.419,0.0,9.0,282.0,-273.0,3.0520647163893107,-0.6223628691983123,0.06,0.2
Ayo Dosunmu,MIN,10.4,0.6,10.0,156.0,-146.0,2.511572870144083,-0.32067510548523204,0.132,1.9
Dylan Harper,SAS,10.276,1.3,11.0,90.0,-79.0,1.8150017583719702,-0.17405063291139242,0.13,4.2
Ajay Mitchell,OKC,9.952,1.4,12.0,83.0,-71.0,1.516990511544559,-0.15611814345991562,0.156,4.8
Evan Mobley,CLE,9.829,2.6,13.0,26.0,-13.0,0.38091906375481277,-0.030590717299578057,0.15,6.5
Paul Reed,DET,9.803,1.6,14.0,68.0,-54.0,1.2443655460585166,-0.11814345991561181,0.239,4.5
Chris Youngblood,POR,9.771,0.0,15.0,282.0,-267.0,2.632101593637068,-0.609704641350211,0.243,0.1
Giannis Antetokounmpo,MIL,9.671,3.0,16.0,23.0,-7.0,-0.07359809378314708,-0.014767932489451477,0.231,5.0
Dean Wade,CLE,9.487,0.7,17.0,141.0,-124.0,1.8318358836545248,-0.27637130801687765,0.114,3.1
Ty Jerome,MEM,9.462,0.8,18.0,134.0,-116.0,1.7276039172328548,-0.25105485232067515,0.191,1.3
Keshad Johnson,MIA,9.397,0.1,19.0,246.0,-227.0,2.301685784868897,-0.5158227848101267,0.11,0.6
Jalen Smith,CHI,9.37,0.4,20.0,182.0,-162.0,2.0200982650670167,-0.35443037974683544,0.114,2.6
LaMelo Ball,CHA,9.207,3.4,21.0,15.0,6.0,-0.726431170398554,0.011603375527426157,0.147,6.2
Donovan Mitchell,CLE,9.174,4.2,22.0,7.0,15.0,-1.4520556648897744,0.03059071729957806,0.169,8.2
Jaylen Brown,BOS,9.147,3.3,23.0,17.0,6.0,-0.677286959276175,0.011603375527426157,0.135,6.9
Devin Booker,PHX,9.142,2.3,24.0,38.0,-14.0,0.19976943904264632,-0.03375527426160337,0.145,6.5
Neemias Queta,BOS,9.118,2.4,25.0,34.0,-9.0,0.0961855638597926,-0.022151898734177215,0.224,9.0
Immanuel Quickley,TOR,8.944,2.5,26.0,30.0,-4.0,-0.10461199714534009,-0.01160337552742615,0.14,6.5
LeBron James,LAL,8.913,2.8,27.0,24.0,3.0,-0.3887918819024805,0.0052742616033755255,0.131,5.4
Isaiah Joe,OKC,8.896,1.7,28.0,63.0,-35.0,0.5685171070018497,-0.0780590717299578,0.176,5.5
Duncan Robinson,DET,8.884,1.5,29.0,73.0,-44.0,0.7367993830386468,-0.10232067510548523,0.139,6.1
Jalen Green,PHX,8.88,0.2,30.0,219.0,-189.0,1.8785929289501542,-0.42616033755274263,0.019,0.3
Stephon Castle,SAS,8.86,2.0,31.0,50.0,-19.0,0.2810967660506325,-0.043248945147679324,0.136,5.8
Javon Small,MEM,8.783,0.6,32.0,156.0,-124.0,1.4636093369799208,-0.2742616033755274,0.112,1.9
