player_name,player_id,team,position,sim_mean_salary,sim_median_salary,sim_p25_salary,sim_p75_salary,sim_salary_std,sim_mean_score,fmv_band
Nikola Jokić,203999,DEN,C,46239453.0,46239453.0,46239453.0,46239453.0,0.0,29.5805,star
Shai Gilgeous-Alexander,1628983,OKC,PG,45803540.44,45823505.9,45823505.9,45823505.9,88915.44,26.0636,star
Kevin Durant,201142,HOU,SF,45427524.25,45407558.79,45407558.79,45407558.79,88915.44,25.0013,star
Jamal Murray,1627750,DEN,PG,44459199.4,44575664.59,44159717.48,44991611.69,582860.49,21.6606,star
LeBron James,2544,LAL,SF,44373098.35,44575664.59,44159717.48,44991611.69,606745.65,21.5948,star
James Harden,201935,CLE,PG,43870218.3,43743770.38,43327823.28,44575664.59,680373.52,21.2437,star
Cade Cunningham,1630595,DET,PG,43789940.51,43743770.38,43327823.28,44159717.48,673870.12,21.1836,star
Tyrese Maxey,1630178,PHI,PG,43726300.6,43743770.38,43327823.28,44159717.48,691052.77,21.1438,star
Derrick White,1628401,BOS,PG,43331982.75,43327823.28,42911876.17,43743770.38,644369.06,20.9034,star
Desmond Bane,1630217,ORL,PG,41990553.34,42079981.97,41664034.86,42495929.07,624582.35,19.9397,star
Anthony Edwards,1630162,MIN,PG,41852458.9,42079981.97,41248087.76,42495929.07,640584.33,19.8459,star
Donovan Mitchell,1628378,CLE,PG,41753463.49,41664034.86,41248087.76,42079981.97,671310.15,19.7793,star
Jalen Brunson,1628973,NYK,PG,41642821.56,41664034.86,41248087.76,42079981.97,677929.85,19.7159,star
Luka Dončić,1629029,LAL,SG,40716507.36,40832140.66,40416193.55,41248087.76,699572.58,19.1259,star
Devin Booker,1626164,PHX,PG,40287249.95,40416193.55,40000246.45,40832140.66,749386.17,18.8591,star
Jalen Johnson,1630552,ATL,SF,39699932.64,40000246.45,39168352.24,40416193.55,878300.26,18.5355,star
De'Aaron Fox,1628368,SAS,PG,39406273.98,39584299.34,38752405.14,40000246.45,871983.87,18.3794,star
Alperen Sengun,1630578,HOU,C,39055630.58,39168352.24,38336458.03,39584299.34,951015.46,18.1957,star
Miles Bridges,1628970,CHA,SF,38670463.56,38752405.14,37920510.93,39168352.24,975676.7,18.0159,star
VJ Edgecombe,1642845,PHI,PG,38360998.91,38336458.03,37920510.93,39168352.24,994585.02,17.8837,star
Deni Avdija,1630166,POR,SF,38064844.57,37920510.93,37504563.83,38752405.14,937920.69,17.7413,star
Scottie Barnes,1630567,TOR,SG,37297107.54,37088616.72,36672669.62,37920510.93,1027615.26,17.3866,star
Cooper Flagg,1642843,DAL,SF,37104684.01,37088616.72,36672669.62,37920510.93,1010268.77,17.2989,star
Kawhi Leonard,202695,LAC,SF,37062518.71,37088616.72,36256722.52,37504563.83,1006585.79,17.2768,star
Nickeil Alexander-Walker,1629638,ATL,PG,36345415.24,36256722.52,35840775.41,37088616.72,1440979.72,16.9748,star
Victor Wembanyama,1641705,SAS,PF,35331234.88,35840775.41,35008881.21,36256722.52,1974654.33,16.609,star
Trey Murphy III,1630530,NOP,SF,33219914.05,34592934.1,28455048.0,35424828.31,3277148.56,16.1845,core
Paolo Banchero,1631094,ORL,SF,33109501.42,34592934.1,28455048.0,35424828.31,3276637.03,16.1633,core
Dyson Daniels,1630700,ATL,PG,32875472.51,34592934.1,28455048.0,35424828.31,3382656.72,16.1223,core
Toumani Camara,1641739,POR,SF,32847300.1,34592934.1,28455048.0,35424828.31,3407992.81,16.1323,core
Matas Buzelis,1641824,CHI,SF,30196789.17,28199080.55,27687145.66,34592934.1,3525181.94,15.7648,core
Karl-Anthony Towns,1626157,NYK,PF,29266678.12,27943113.1,27431178.21,28455048.0,3209614.47,15.6341,core
Payton Pritchard,1630202,BOS,PG,29137542.54,27943113.1,27175210.76,28455048.0,3122846.86,15.615,core
Josh Hart,1628404,NYK,PG,28896501.19,27943113.1,27175210.76,28455048.0,3039695.15,15.5736,core
Kon Knueppel,1642851,CHA,SG,27217381.4,26919243.31,26151340.97,27687145.66,2092544.79,15.1936,core
Austin Reaves,1630559,LAL,PG,26975012.22,26663275.86,25895373.52,27687145.66,1866349.23,15.1319,core
Jabari Smith Jr.,1631095,HOU,SF,26915147.83,26919243.31,25895373.52,27431178.21,1532213.49,15.1633,core
Jaden McDaniels,1630183,MIN,SF,26889897.71,26663275.86,25895373.52,27431178.21,1678693.79,15.126,core
Josh Giddey,1630581,CHI,PG,26770366.24,26663275.86,25895373.52,27431178.21,1703012.22,15.0902,core
CJ McCollum,203468,ATL,PG,26184024.81,25895373.52,25383438.62,26919243.31,1421323.08,14.8654,core
Donte DiVincenzo,1628978,MIN,PG,26014030.43,25895373.52,25127471.17,26663275.86,1301334.72,14.8035,core
Pascal Siakam,1627783,IND,SF,25898679.76,25895373.52,25127471.17,26663275.86,1168373.28,14.7664,core
Bam Adebayo,1628389,MIA,PF,25892381.9,25639406.07,25127471.17,26407308.41,1277280.95,14.7541,core
Michael Porter Jr.,1629008,BKN,SF,25845433.2,25639406.07,25127471.17,26663275.86,1215280.52,14.7447,core
Mikal Bridges,1628969,NYK,SG,25482588.68,25383438.62,24871503.72,26151340.97,1013552.41,14.5947,core
Royce O'Neale,1626220,PHX,SF,24590963.4,24615536.28,24103601.38,25127471.17,916377.19,14.1746,core
Brandon Ingram,1627742,TOR,SF,23670760.42,23591666.48,23079731.59,24359568.83,912319.08,13.7177,core
Julius Randle,203944,MIN,PF,23555063.14,23591666.48,22823764.14,24103601.38,882421.6,13.6686,core
Amen Thompson,1641708,HOU,SG,23482368.38,23591666.48,22823764.14,24103601.38,923566.27,13.6348,core
Brandin Podziemski,1641764,GSW,PG,23372814.31,23335699.03,22567796.69,24103601.38,921268.59,13.5778,core
Evan Mobley,1630596,CLE,C,23292696.5,23335699.03,22567796.69,23847633.93,880460.16,13.5394,core
Stephen Curry,201939,GSW,PG,23182118.57,23079731.59,22567796.69,23847633.93,922974.75,13.487,core
Rudy Gobert,203497,MIN,C,23179814.86,23079731.59,22567796.69,23847633.93,904334.08,13.4771,core
Brandon Miller,1641706,CHA,SF,23092529.96,23079731.59,22311829.24,23847633.93,878438.37,13.4399,core
Giannis Antetokounmpo,203507,MIL,SF,22726859.13,22567796.69,22055861.79,23335699.03,857653.74,13.2509,core
Immanuel Quickley,1630193,TOR,PG,22624269.51,22311829.24,22055861.79,23079731.59,822815.11,13.1926,core
Jalen Duren,1631105,DET,C,22282094.36,22055861.79,21799894.34,22567796.69,732817.74,13.0091,core
Nikola Vučević,202696,BOS,C,21721408.33,21543926.9,21543926.9,21799894.34,499344.1,12.5827,starter
Onyeka Okongwu,1630168,ATL,PF,21263301.25,21287959.45,21031992.0,21341286.0,267187.34,11.9608,starter
Stephon Castle,1642264,SAS,PG,21208364.24,21287959.45,21031992.0,21341286.0,265877.15,11.8592,starter
DeMar DeRozan,201942,SAC,SG,21075602.45,21149310.41,20957334.83,21341286.0,289134.0,11.5251,starter
Naji Marshall,1630230,DAL,SF,20906546.62,20957334.83,20765359.24,21149310.41,352007.49,11.2874,starter
Zion Williamson,1629627,NOP,SF,20874774.66,20957334.83,20573383.66,21149310.41,370917.03,11.2134,starter
Jaylen Brown,1627759,BOS,SG,20864365.32,20957334.83,20573383.66,21149310.41,354059.54,11.2117,starter
Andrew Wiggins,203952,MIA,SF,20583217.07,20573383.66,20381408.07,20957334.83,425548.28,10.8754,starter
Jrue Holiday,201950,POR,PG,20470410.08,20381408.07,20189432.48,20765359.24,457399.58,10.7629,starter
OG Anunoby,1628384,NYK,SG,19896477.74,19997456.9,19613505.72,20189432.48,556044.42,10.245,starter
Max Christie,1631108,DAL,PG,19769581.88,19805481.31,19421530.14,20189432.48,574068.99,10.1361,starter
Darius Garland,1629636,LAC,PG,19647368.08,19613505.72,19229554.55,19997456.9,613255.57,10.0458,starter
Quentin Grimes,1629656,PHI,PG,19426521.5,19421530.14,19037578.97,19997456.9,671676.57,9.8891,starter
Jerami Grant,203924,POR,SF,19319975.05,19421530.14,18845603.38,19805481.31,690182.51,9.8179,starter
Jaime Jaquez Jr.,1631170,MIA,PG,19156795.8,19229554.55,18653627.79,19613505.72,664617.12,9.6974,starter
Keyonte George,1641718,UTA,PG,18946673.19,19037578.97,18461652.21,19421530.14,716492.99,9.5634,starter
P.J. Washington,1629023,DAL,SF,18722930.98,18653627.79,18269676.62,19229554.55,750393.23,9.4204,starter
Grayson Allen,1628960,PHX,PG,18707764.91,18653627.79,18269676.62,19229554.55,718934.5,9.4164,starter
Rui Hachimura,1629060,LAL,SF,18680978.98,18653627.79,18269676.62,19229554.55,709614.13,9.3894,starter
Tyler Herro,1629639,MIA,PG,18179117.47,18269676.62,17693749.86,18653627.79,743396.11,9.0873,starter
Cameron Johnson,1629661,DEN,SF,18033914.6,18077701.03,17501774.28,18461652.21,750305.12,8.9999,starter
Norman Powell,1626181,MIA,PG,17939078.66,17885725.45,17501774.28,18461652.21,752753.74,8.9288,starter
Franz Wagner,1630532,ORL,SF,17908394.57,17885725.45,17501774.28,18461652.21,740906.95,8.9158,starter
Saddiq Bey,1630180,NOP,SG,17403392.12,17501774.28,16925847.52,17885725.45,727843.82,8.5915,starter
Jimmy Butler III,202710,GSW,SF,17300306.56,17309798.69,16925847.52,17693749.86,677381.47,8.5256,starter
Devin Vassell,1630170,SAS,SG,17029210.37,17117823.1,16541896.34,17501774.28,663324.18,8.3096,starter
Shaedon Sharpe,1631101,POR,PG,16959864.52,16925847.52,16465906.01,17501774.28,653888.2,8.2241,starter
Peyton Watson,1631212,DEN,PG,16928513.84,16925847.52,16349920.76,17501774.28,674707.63,8.2227,starter
LaMelo Ball,1630163,CHA,PG,16877741.63,16925847.52,16349920.76,17464445.69,662007.78,8.0443,starter
Paul George,202331,PHI,SF,16860757.13,16925847.52,16349920.76,17309798.69,650446.04,8.099,starter
Christian Braun,1631128,DEN,PG,16857088.26,16925847.52,16349920.76,17309798.69,640831.03,8.0514,starter
Ivica Zubac,1627826,IND,C,16809291.67,16824527.07,16344588.1,17309798.69,648596.06,7.8903,starter
Brook Lopez,201572,LAC,C,16795661.41,16824527.07,16184608.45,17304466.03,642256.24,7.7337,starter
Anthony Black,1641710,ORL,PG,16794504.22,16824527.07,16184608.45,17309798.69,649207.72,7.7623,starter
Wendell Carter Jr.,1628976,ORL,PF,16794034.95,16824527.07,16184608.45,17309798.69,658046.16,7.6089,starter
AJ Green,1631260,MIL,PG,16768864.81,16824527.07,16184608.45,17304466.03,646775.5,7.5939,starter
Ryan Rollins,1631157,MIL,PG,16756695.69,16824527.07,16184608.45,17304466.03,642022.97,7.4706,starter
Lauri Markkanen,1628374,UTA,PF,16748046.13,16824527.07,16184608.45,17304466.03,662760.08,7.513,starter
Chet Holmgren,1631096,OKC,PF,16743257.4,16824527.07,16184608.45,17304466.03,663154.73,7.4852,starter
Davion Mitchell,1630558,MIA,PG,16602325.99,16664547.41,16024628.79,17144486.38,693296.52,7.2738,starter
Kyshawn George,1642273,WAS,SF,16524474.56,16504567.76,16024628.79,16984506.72,684880.56,7.2182,starter
Russell Westbrook,201566,SAC,PG,16335154.64,16344588.1,15864649.14,16824527.07,711717.42,7.0501,starter
Anthony Davis,203076,DAL,PF,16020314.67,16024628.79,15544689.83,16504567.76,718178.96,6.831,starter
Collin Gillespie,1631221,PHX,PG,16019296.14,16024628.79,15384710.17,16504567.76,744483.81,6.8392,starter
Jaren Jackson Jr.,1628991,UTA,PF,15989326.62,15864649.14,15384710.17,16504567.76,744667.36,6.8152,starter
Jayson Tatum,1628369,BOS,SG,15941929.98,15864649.14,15384710.17,16504567.76,719825.65,6.7947,starter
Keegan Murray,1631099,SAC,SF,15882588.19,15864649.14,15384710.17,16344588.1,708641.44,6.7438,starter
Derik Queen,1642852,NOP,C,15877186.21,15864649.14,15384710.17,16344588.1,729693.69,6.7451,starter
Zach LaVine,203897,SAC,PG,15784915.28,15704669.48,15224730.52,16344588.1,732309.28,6.6764,starter
Donovan Clingan,1642270,POR,C,15557829.49,15544689.83,15064750.86,16024628.79,678631.21,6.5348,starter
