rank,player_name,player_id,team,position,sim_mean_salary,sim_median_salary,sim_p25_salary,sim_p75_salary,sim_salary_std,sim_mean_score,fmv_band,projected_games,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_pct,ft_pct,three_pt_pct,fta,fantasy_points,ceiling,floor,consistency,fga,fgm,tpa,tpm,ftm,usage_rate
1,Nikola Jokić,203999,DEN,C,46239453.0,46239453.0,46239453.0,46239453.0,0.0,29.5805,star,66,34.1,23.0,11.4,7.2,1.2,1.0,2.9,0.557,0.787,0.383,5.8,51.2,75.7,27.2,71,15.5,8.6,3.0,1.2,4.5,0.5
2,Shai Gilgeous-Alexander,1628983,OKC,PG,45803540.44,45823505.9,45823505.9,45823505.9,88915.44,26.0636,star,69,33.5,26.0,4.4,5.8,1.5,0.7,2.2,0.512,0.872,0.373,6.9,44.1,69.0,21.2,77,17.7,9.1,4.7,1.8,6.0,0.5
3,Kevin Durant,201142,HOU,SF,45427524.25,45407558.79,45407558.79,45407558.79,88915.44,25.0013,star,72,34.9,22.8,6.1,4.2,0.9,0.9,2.7,0.501,0.842,0.399,5.2,39.0,61.7,18.1,78,16.4,8.2,4.9,2.0,4.4,0.5
4,Jamal Murray,1627750,DEN,PG,44459199.4,44575664.59,44159717.48,44991611.69,582860.49,21.6606,star,69,34.2,20.8,4.1,6.0,1.1,0.4,2.1,0.471,0.861,0.407,4.0,37.1,57.8,17.7,70,15.8,7.4,5.9,2.4,3.5,0.5
5,LeBron James,2544,LAL,SF,44373098.35,44575664.59,44159717.48,44991611.69,606745.65,21.5948,star,63,33.8,21.7,7.2,6.8,1.2,0.5,3.1,0.515,0.763,0.366,5.1,42.6,58.8,26.0,71,15.7,8.1,4.2,1.5,3.9,0.6
6,James Harden,201935,CLE,PG,43870218.3,43743770.38,43327823.28,44575664.59,680373.52,21.2437,star,70,33.8,19.1,4.6,7.3,1.2,0.4,3.0,0.433,0.875,0.374,5.4,37.5,58.0,18.3,71,13.7,5.9,6.8,2.5,4.7,0.4
7,Cade Cunningham,1630595,DET,PG,43789940.51,43743770.38,43327823.28,44159717.48,673870.12,21.1836,star,66,33.7,21.3,4.9,7.3,1.2,0.6,3.2,0.457,0.825,0.354,4.7,40.3,62.0,19.6,65,17.0,7.8,5.3,1.9,3.9,0.5
8,Tyrese Maxey,1630178,PHI,PG,43726300.6,43743770.38,43327823.28,44159717.48,691052.77,21.1438,star,65,35.8,22.9,4.0,5.6,1.5,0.5,2.2,0.451,0.862,0.36,4.9,39.7,62.1,18.8,69,17.9,8.1,7.0,2.5,4.2,0.5
9,Derrick White,1628401,BOS,PG,43331982.75,43327823.28,42911876.17,43743770.38,644369.06,20.9034,star,73,33.3,16.1,4.1,5.0,1.1,0.8,1.8,0.428,0.86,0.36,2.8,32.7,51.5,15.3,69,13.2,5.6,6.9,2.5,2.4,0.5
10,Desmond Bane,1630217,ORL,PG,41990553.34,42079981.97,41664034.86,42495929.07,624582.35,19.9397,star,71,33.2,19.3,4.4,4.8,1.1,0.4,2.2,0.469,0.869,0.381,3.8,34.2,53.3,16.4,70,14.8,6.9,5.7,2.2,3.3,0.5
